Date,Price,Open,High,Low,Vol.,Change %
09/08/2021,"1,312.34","1,315.26","1,320.05","1,305.12",160.96M,-0.77%
09/07/2021,"1,322.59","1,325.75","1,328.27","1,321.74",132.77M,-0.32%
09/06/2021,"1,326.86","1,318.62","1,328.58","1,318.28",107.95M,0.96%
09/03/2021,"1,314.20","1,324.61","1,324.61","1,309.28",134.72M,-0.85%
09/02/2021,"1,325.51","1,321.29","1,326.40","1,321.02",127.90M,0.22%
09/01/2021,"1,322.54","1,319.39","1,327.45","1,318.46",165.76M,1.04%
08/31/2021,"1,308.97","1,311.27","1,314.74","1,303.56",206.20M,0.00%
08/30/2021,"1,308.94","1,309.42","1,310.65","1,307.31",82.87M,0.13%
08/27/2021,"1,307.29","1,300.68","1,307.41","1,298.34",112.77M,0.45%
08/26/2021,"1,301.47","1,297.74","1,302.92","1,293.32",117.66M,-0.15%
08/25/2021,"1,303.41","1,304.40","1,306.25","1,302.83",118.22M,0.12%
08/24/2021,"1,301.83","1,308.63","1,308.63","1,297.26",124.24M,0.08%
08/23/2021,"1,300.73","1,300.90","1,302.80","1,293.78",131.17M,0.97%
08/20/2021,"1,288.28","1,282.39","1,289.85","1,276.20",137.60M,0.46%
08/19/2021,"1,282.43","1,289.27","1,290.16","1,271.57",207.81M,-2.01%
08/18/2021,"1,308.69","1,313.80","1,314.84","1,307.40",122.62M,-0.36%
08/17/2021,"1,313.42","1,310.53","1,315.97","1,305.83",143.73M,-0.23%
08/16/2021,"1,316.40","1,318.35","1,320.34","1,312.43",124.99M,-0.85%
08/13/2021,"1,327.64","1,326.73","1,330.07","1,325.43",128.64M,0.01%
08/12/2021,"1,327.49","1,324.75","1,328.80","1,323.95",164.38M,0.21%
08/11/2021,"1,324.71","1,322.95","1,327.58","1,319.10",146.10M,0.37%
08/10/2021,"1,319.80","1,316.90","1,322.99","1,316.65",132.23M,0.43%
08/09/2021,"1,314.21","1,311.58","1,315.81","1,311.58",119.77M,0.18%
08/06/2021,"1,311.81","1,307.80","1,314.74","1,305.20",159.65M,0.27%
08/05/2021,"1,308.22","1,300.85","1,309.55","1,300.85",142.82M,0.46%
08/04/2021,"1,302.18","1,302.14","1,305.84","1,299.15",152.31M,0.51%
08/03/2021,"1,295.59","1,292.00","1,299.49","1,290.74",161.92M,0.19%
08/02/2021,"1,293.11","1,290.40","1,294.93","1,286.13",154.32M,0.93%
07/30/2021,"1,281.19","1,281.11","1,288.22","1,279.43",202.80M,-0.51%
07/29/2021,"1,287.78","1,285.79","1,290.71","1,285.01",197.52M,0.49%
07/28/2021,"1,281.47","1,267.65","1,281.49","1,265.74",138.73M,1.28%
07/27/2021,"1,265.30","1,270.91","1,273.92","1,262.24",146.43M,-0.87%
07/26/2021,"1,276.46","1,270.99","1,278.17","1,267.34",141.86M,-0.27%
07/23/2021,"1,279.86","1,271.08","1,280.97","1,269.68",127.77M,1.16%
07/22/2021,"1,265.13","1,263.51","1,271.70","1,262.56",133.98M,0.57%
07/21/2021,"1,257.91","1,243.50","1,258.64","1,243.50",179.87M,1.84%
07/20/2021,"1,235.13","1,236.95","1,243.43","1,227.26",184.84M,0.52%
07/19/2021,"1,228.75","1,245.59","1,246.10","1,220.86",239.64M,-2.38%
07/16/2021,"1,258.67","1,264.65","1,268.99","1,252.74",168.93M,-0.41%
07/15/2021,"1,263.83","1,271.40","1,275.61","1,260.55",147.56M,-0.95%
07/14/2021,"1,276.01","1,272.73","1,277.81","1,270.33",123.47M,0.05%
07/13/2021,"1,275.32","1,274.04","1,275.38","1,271.50",139.16M,0.16%
07/12/2021,"1,273.26","1,266.07","1,274.51","1,258.68",134.93M,0.59%
07/09/2021,"1,265.84","1,252.76","1,266.11","1,251.18",210.97M,1.68%
07/08/2021,"1,244.93","1,262.17","1,262.71","1,236.76",252.61M,-2.04%
07/07/2021,"1,270.85","1,268.43","1,273.11","1,265.35",221.88M,0.51%
07/06/2021,"1,264.43","1,270.99","1,273.50","1,260.18",230.69M,-0.71%
07/05/2021,"1,273.49","1,270.56","1,275.36","1,265.80",113.71M,0.02%
07/02/2021,"1,273.19","1,274.60","1,276.87","1,270.69",143.67M,0.18%
07/01/2021,"1,270.95","1,272.80","1,279.48","1,261.47",200.90M,0.50%
06/30/2021,"1,264.63","1,275.27","1,277.67","1,260.13",230.62M,-0.89%
